r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.524569988250732422e-01,6.524569988250732422e-01,3.417011201381683350e-01,5.536358356475830078e-01,9.748000144958496094e+00,1.050000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.083050489425659180e+00,1.517918586730957031e+00,1.200000010430812836e-02,0.000000000000000000e+00,5.249796509742736816e-01,2.483711814880371094e+01
6.524569988250732422e-01,5.611389279365539551e-01,3.506310284137725830e-01,5.351638793945312500e-01,1.014000034332275391e+01,9.500000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.960000000000000000e+02,1.000000000000000000e+01,2.098328828811645508e+00,1.592867612838745117e+00,1.200000010430812836e-02,0.000000000000000000e+00,5.171538591384887695e-01,2.689160156250000000e+01
6.524569988250732422e-01,5.762916803359985352e-01,3.317267894744873047e-01,5.354452729225158691e-01,1.022599983215332031e+01,8.500000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.106967926025390625e+00,1.606499791145324707e+00,1.200000010430812836e-02,0.000000000000000000e+00,5.198406577110290527e-01,2.891532707214355469e+01
6.524569988250732422e-01,6.060342192649841309e-01,3.217043578624725342e-01,5.421673655509948730e-01,1.034000015258789062e+01,8.199999809265136719e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.980000000000000000e+02,1.000000000000000000e+01,2.122288942337036133e+00,1.580889225006103516e+00,1.600000075995922089e-02,0.000000000000000000e+00,5.087883472442626953e-01,3.096295928955078125e+01
6.524569988250732422e-01,6.470968723297119141e-01,3.293511867523193359e-01,5.441969633102416992e-01,1.059799957275390625e+01,9.399999618530273438e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.960000000000000000e+02,1.000000000000000000e+01,2.117035627365112305e+00,1.621204972267150879e+00,1.200000010430812836e-02,0.000000000000000000e+00,5.249214768409729004e-01,3.298143005371093750e+01
6.920301318168640137e-01,6.920301318168640137e-01,3.334359824657440186e-01,5.613501667976379395e-01,1.050000000000000000e+01,1.039999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.120735168457031250e+00,1.594000220298767090e+00,9.999999776482582092e-03,0.000000000000000000e+00,5.214197039604187012e-01,3.499306488037109375e+01
6.920301318168640137e-01,5.468039512634277344e-01,3.291441202163696289e-01,5.234366059303283691e-01,1.089799976348876953e+01,1.160000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.124706983566284180e+00,1.613058686256408691e+00,1.999999955296516418e-02,0.000000000000000000e+00,5.142909884452819824e-01,3.704678344726562500e+01
6.920301318168640137e-01,6.110224127769470215e-01,3.360070586204528809e-01,5.422933101654052734e-01,1.043999958038330078e+01,7.099999904632568359e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.131310939788818359e+00,1.521771669387817383e+00,1.799999922513961792e-02,0.000000000000000000e+00,5.158008933067321777e-01,3.906261444091796875e+01
6.920301318168640137e-01,5.543795824050903320e-01,3.386298716068267822e-01,5.364601612091064453e-01,1.061600017547607422e+01,7.800000190734863281e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.131527423858642578e+00,1.561332345008850098e+00,1.799999922513961792e-02,0.000000000000000000e+00,5.251324176788330078e-01,4.110538482666015625e+01
6.920301318168640137e-01,5.602812170982360840e-01,3.363299369812011719e-01,5.351080894470214844e-01,1.109799957275390625e+01,1.130000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.141165971755981445e+00,1.632712244987487793e+00,1.999999955296516418e-02,0.000000000000000000e+00,5.124776959419250488e-01,4.315666580200195312e+01
